predicted_label|	stack|	buffer|	dependencies|	sentence
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT noVppulu eVkkuva avuwAyi
LEFTARC#adv|	[0, 1, 2, 3]|	[]|	[]|	ROOT noVppulu eVkkuva avuwAyi
LEFTARC#k1|	[0, 1, 3]|	[]|	[(3, 2, 'adv')]|	ROOT noVppulu eVkkuva avuwAyi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'adv'), (3, 1, 'k1')]|	ROOT noVppulu eVkkuva avuwAyi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT bidda bayata paduwuMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT bidda bayata paduwuMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT bidda bayata paduwuMxi
LEFTARC#pof|	[0, 1, 2, 3]|	[]|	[]|	ROOT bidda bayata paduwuMxi
LEFTARC#k1|	[0, 1, 3]|	[]|	[(3, 2, 'pof')]|	ROOT bidda bayata paduwuMxi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'pof'), (3, 1, 'k1')]|	ROOT bidda bayata paduwuMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT muMxu wala vaswuMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT muMxu wala vaswuMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT muMxu wala vaswuMxi
LEFTARC#k1|	[0, 1, 2, 3]|	[]|	[]|	ROOT muMxu wala vaswuMxi
LEFTARC#k7t|	[0, 1, 3]|	[]|	[(3, 2, 'k1')]|	ROOT muMxu wala vaswuMxi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k1'), (3, 1, 'k7t')]|	ROOT muMxu wala vaswuMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT dAktaramma walanu aMxukuMtuMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT dAktaramma walanu aMxukuMtuMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT dAktaramma walanu aMxukuMtuMxi
LEFTARC#k2|	[0, 1, 2, 3]|	[]|	[]|	ROOT dAktaramma walanu aMxukuMtuMxi
LEFTARC#k1|	[0, 1, 3]|	[]|	[(3, 2, 'k2')]|	ROOT dAktaramma walanu aMxukuMtuMxi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k2'), (3, 1, 'k1')]|	ROOT dAktaramma walanu aMxukuMtuMxi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT neVmmaxigA wIswuMxi
SHIFT|	[0, 1]|	[2]|	[]|	ROOT neVmmaxigA wIswuMxi
LEFTARC#adv|	[0, 1, 2]|	[]|	[]|	ROOT neVmmaxigA wIswuMxi
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'adv')]|	ROOT neVmmaxigA wIswuMxi
SHIFT|	[0]|	[1, 2, 3, 4, 5, 6]|	[]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
SHIFT|	[0, 1]|	[2, 3, 4, 5, 6]|	[]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
SHIFT|	[0, 1, 2]|	[3, 4, 5, 6]|	[]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
LEFTARC#k2|	[0, 1, 2, 3]|	[4, 5, 6]|	[]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
SHIFT|	[0, 1, 3]|	[4, 5, 6]|	[(3, 2, 'k2')]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
SHIFT|	[0, 1, 3, 4]|	[5, 6]|	[(3, 2, 'k2')]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
SHIFT|	[0, 1, 3, 4, 5]|	[6]|	[(3, 2, 'k2')]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
LEFTARC#k1|	[0, 1, 3, 4, 5, 6]|	[]|	[(3, 2, 'k2')]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
LEFTARC#k7p|	[0, 1, 3, 4, 6]|	[]|	[(3, 2, 'k2'), (6, 5, 'k1')]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
LEFTARC#vmod|	[0, 1, 3, 6]|	[]|	[(3, 2, 'k2'), (6, 5, 'k1'), (6, 4, 'k7p')]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
RIGHTARC#ccof|	[0, 1, 6]|	[]|	[(3, 2, 'k2'), (6, 5, 'k1'), (6, 4, 'k7p'), (6, 3, 'vmod')]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
RIGHTARC#root|	[0, 1]|	[]|	[(3, 2, 'k2'), (6, 5, 'k1'), (6, 4, 'k7p'), (6, 3, 'vmod'), (1, 6, 'ccof')]|	ROOT veVMtane wAdu koswuMxi poVttamIxa macca miguluwuMxi
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT ipudu biddaku gAli kAvAli
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT ipudu biddaku gAli kAvAli
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT ipudu biddaku gAli kAvAli
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT ipudu biddaku gAli kAvAli
LEFTARC#k1|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT ipudu biddaku gAli kAvAli
LEFTARC#k4|	[0, 1, 2, 4]|	[]|	[(4, 3, 'k1')]|	ROOT ipudu biddaku gAli kAvAli
LEFTARC#k7t|	[0, 1, 4]|	[]|	[(4, 3, 'k1'), (4, 2, 'k4')]|	ROOT ipudu biddaku gAli kAvAli
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'k1'), (4, 2, 'k4'), (4, 1, 'k7t')]|	ROOT ipudu biddaku gAli kAvAli
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT bidda moVxatisArigA Upiri wIsukuMtuMxi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT bidda moVxatisArigA Upiri wIsukuMtuMxi
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT bidda moVxatisArigA Upiri wIsukuMtuMxi
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT bidda moVxatisArigA Upiri wIsukuMtuMxi
LEFTARC#pof|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT bidda moVxatisArigA Upiri wIsukuMtuMxi
LEFTARC#adv|	[0, 1, 2, 4]|	[]|	[(4, 3, 'pof')]|	ROOT bidda moVxatisArigA Upiri wIsukuMtuMxi
LEFTARC#k1|	[0, 1, 4]|	[]|	[(4, 3, 'pof'), (4, 2, 'adv')]|	ROOT bidda moVxatisArigA Upiri wIsukuMtuMxi
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'pof'), (4, 2, 'adv'), (4, 1, 'k1')]|	ROOT bidda moVxatisArigA Upiri wIsukuMtuMxi
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT appudappudu biddaku Upiri aMxaxu
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT appudappudu biddaku Upiri aMxaxu
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT appudappudu biddaku Upiri aMxaxu
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT appudappudu biddaku Upiri aMxaxu
LEFTARC#k1|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT appudappudu biddaku Upiri aMxaxu
LEFTARC#k4|	[0, 1, 2, 4]|	[]|	[(4, 3, 'k1')]|	ROOT appudappudu biddaku Upiri aMxaxu
LEFTARC#k7t|	[0, 1, 4]|	[]|	[(4, 3, 'k1'), (4, 2, 'k4')]|	ROOT appudappudu biddaku Upiri aMxaxu
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'k1'), (4, 2, 'k4'), (4, 1, 'k7t')]|	ROOT appudappudu biddaku Upiri aMxaxu
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
SHIFT|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
SHIFT|	[0, 1, 2, 3]|	[4, 5]|	[]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
SHIFT|	[0, 1, 2, 3, 4]|	[5]|	[]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
LEFTARC#k7p|	[0, 1, 2, 3, 4, 5]|	[]|	[]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
LEFTARC#k2|	[0, 1, 2, 3, 5]|	[]|	[(5, 4, 'k7p')]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
LEFTARC#k1|	[0, 1, 2, 5]|	[]|	[(5, 4, 'k7p'), (5, 3, 'k2')]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
LEFTARC#k7t|	[0, 1, 5]|	[]|	[(5, 4, 'k7p'), (5, 3, 'k2'), (5, 2, 'k1')]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
RIGHTARC#root|	[0, 5]|	[]|	[(5, 4, 'k7p'), (5, 3, 'k2'), (5, 2, 'k1'), (5, 1, 'k7t')]|	ROOT appudu dAktaru wala kiMxaku veswuMxi
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT kAlYlanu pattukoVni vIpu waduwuMxi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT kAlYlanu pattukoVni vIpu waduwuMxi
LEFTARC#k2|	[0, 1, 2]|	[3, 4]|	[]|	ROOT kAlYlanu pattukoVni vIpu waduwuMxi
SHIFT|	[0, 2]|	[3, 4]|	[(2, 1, 'k2')]|	ROOT kAlYlanu pattukoVni vIpu waduwuMxi
SHIFT|	[0, 2, 3]|	[4]|	[(2, 1, 'k2')]|	ROOT kAlYlanu pattukoVni vIpu waduwuMxi
LEFTARC#k2|	[0, 2, 3, 4]|	[]|	[(2, 1, 'k2')]|	ROOT kAlYlanu pattukoVni vIpu waduwuMxi
LEFTARC#vmod|	[0, 2, 4]|	[]|	[(2, 1, 'k2'), (4, 3, 'k2')]|	ROOT kAlYlanu pattukoVni vIpu waduwuMxi
RIGHTARC#root|	[0, 4]|	[]|	[(2, 1, 'k2'), (4, 3, 'k2'), (4, 2, 'vmod')]|	ROOT kAlYlanu pattukoVni vIpu waduwuMxi
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT oVkkosAri wala muMxu rAxu
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT oVkkosAri wala muMxu rAxu
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT oVkkosAri wala muMxu rAxu
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT oVkkosAri wala muMxu rAxu
LEFTARC#k7t|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT oVkkosAri wala muMxu rAxu
LEFTARC#k1|	[0, 1, 2, 4]|	[]|	[(4, 3, 'k7t')]|	ROOT oVkkosAri wala muMxu rAxu
LEFTARC#k7t|	[0, 1, 4]|	[]|	[(4, 3, 'k7t'), (4, 2, 'k1')]|	ROOT oVkkosAri wala muMxu rAxu
RIGHTARC#root|	[0, 4]|	[]|	[(4, 3, 'k7t'), (4, 2, 'k1'), (4, 1, 'k7t')]|	ROOT oVkkosAri wala muMxu rAxu
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
LEFTARC#ccof|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
SHIFT|	[0, 2]|	[3, 4, 5]|	[(2, 1, 'ccof')]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
RIGHTARC#ccof|	[0, 2, 3]|	[4, 5]|	[(2, 1, 'ccof')]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
SHIFT|	[0, 2]|	[4, 5]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
SHIFT|	[0, 2, 4]|	[5]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
LEFTARC#adv|	[0, 2, 4, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
LEFTARC#k1|	[0, 2, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof'), (5, 4, 'adv')]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
RIGHTARC#root|	[0, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof'), (5, 4, 'adv'), (5, 2, 'k1')]|	ROOT cewulu NULL woVdalu muMxu vaswAyi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT appudu ApareRan ceyAli
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT appudu ApareRan ceyAli
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT appudu ApareRan ceyAli
LEFTARC#k2|	[0, 1, 2, 3]|	[]|	[]|	ROOT appudu ApareRan ceyAli
LEFTARC#k7t|	[0, 1, 3]|	[]|	[(3, 2, 'k2')]|	ROOT appudu ApareRan ceyAli
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k2'), (3, 1, 'k7t')]|	ROOT appudu ApareRan ceyAli
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT alA cesi biddanu bayataku wIyAli
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT alA cesi biddanu bayataku wIyAli
LEFTARC#vmod|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT alA cesi biddanu bayataku wIyAli
SHIFT|	[0, 2]|	[3, 4, 5]|	[(2, 1, 'vmod')]|	ROOT alA cesi biddanu bayataku wIyAli
SHIFT|	[0, 2, 3]|	[4, 5]|	[(2, 1, 'vmod')]|	ROOT alA cesi biddanu bayataku wIyAli
SHIFT|	[0, 2, 3, 4]|	[5]|	[(2, 1, 'vmod')]|	ROOT alA cesi biddanu bayataku wIyAli
LEFTARC#k7p|	[0, 2, 3, 4, 5]|	[]|	[(2, 1, 'vmod')]|	ROOT alA cesi biddanu bayataku wIyAli
LEFTARC#k2|	[0, 2, 3, 5]|	[]|	[(2, 1, 'vmod'), (5, 4, 'k7p')]|	ROOT alA cesi biddanu bayataku wIyAli
LEFTARC#vmod|	[0, 2, 5]|	[]|	[(2, 1, 'vmod'), (5, 4, 'k7p'), (5, 3, 'k2')]|	ROOT alA cesi biddanu bayataku wIyAli
RIGHTARC#root|	[0, 5]|	[]|	[(2, 1, 'vmod'), (5, 4, 'k7p'), (5, 3, 'k2'), (5, 2, 'vmod')]|	ROOT alA cesi biddanu bayataku wIyAli
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT oVkkosAri kavalalu pudawAru
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT oVkkosAri kavalalu pudawAru
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT oVkkosAri kavalalu pudawAru
LEFTARC#k1|	[0, 1, 2, 3]|	[]|	[]|	ROOT oVkkosAri kavalalu pudawAru
LEFTARC#k7t|	[0, 1, 3]|	[]|	[(3, 2, 'k1')]|	ROOT oVkkosAri kavalalu pudawAru
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k1'), (3, 1, 'k7t')]|	ROOT oVkkosAri kavalalu pudawAru
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT guddu cIliwe kavalalu oVke uMtAru
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT guddu cIliwe kavalalu oVke uMtAru
LEFTARC#k1|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT guddu cIliwe kavalalu oVke uMtAru
SHIFT|	[0, 2]|	[3, 4, 5]|	[(2, 1, 'k1')]|	ROOT guddu cIliwe kavalalu oVke uMtAru
SHIFT|	[0, 2, 3]|	[4, 5]|	[(2, 1, 'k1')]|	ROOT guddu cIliwe kavalalu oVke uMtAru
SHIFT|	[0, 2, 3, 4]|	[5]|	[(2, 1, 'k1')]|	ROOT guddu cIliwe kavalalu oVke uMtAru
LEFTARC#k1s|	[0, 2, 3, 4, 5]|	[]|	[(2, 1, 'k1')]|	ROOT guddu cIliwe kavalalu oVke uMtAru
LEFTARC#k1|	[0, 2, 3, 5]|	[]|	[(2, 1, 'k1'), (5, 4, 'k1s')]|	ROOT guddu cIliwe kavalalu oVke uMtAru
LEFTARC#vmod|	[0, 2, 5]|	[]|	[(2, 1, 'k1'), (5, 4, 'k1s'), (5, 3, 'k1')]|	ROOT guddu cIliwe kavalalu oVke uMtAru
RIGHTARC#root|	[0, 5]|	[]|	[(2, 1, 'k1'), (5, 4, 'k1s'), (5, 3, 'k1'), (5, 2, 'vmod')]|	ROOT guddu cIliwe kavalalu oVke uMtAru
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
SHIFT|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
LEFTARC#k1|	[0, 1, 2, 3]|	[4, 5]|	[]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
LEFTARC#adv|	[0, 1, 3]|	[4, 5]|	[(3, 2, 'k1')]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
SHIFT|	[0, 3]|	[4, 5]|	[(3, 2, 'k1'), (3, 1, 'adv')]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
SHIFT|	[0, 3, 4]|	[5]|	[(3, 2, 'k1'), (3, 1, 'adv')]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
LEFTARC#ras|	[0, 3, 4, 5]|	[]|	[(3, 2, 'k1'), (3, 1, 'adv')]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
LEFTARC#vmod|	[0, 3, 5]|	[]|	[(3, 2, 'k1'), (3, 1, 'adv'), (5, 4, 'ras')]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
RIGHTARC#root|	[0, 5]|	[]|	[(3, 2, 'k1'), (3, 1, 'adv'), (5, 4, 'ras'), (5, 3, 'vmod')]|	ROOT vidigA piMdaM ayiwe polikalawo pudawAru
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT kanuka BayaM lexu
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT kanuka BayaM lexu
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT kanuka BayaM lexu
LEFTARC#k1|	[0, 1, 2, 3]|	[]|	[]|	ROOT kanuka BayaM lexu
RIGHTARC#ccof|	[0, 1, 3]|	[]|	[(3, 2, 'k1')]|	ROOT kanuka BayaM lexu
RIGHTARC#root|	[0, 1]|	[]|	[(3, 2, 'k1'), (1, 3, 'ccof')]|	ROOT kanuka BayaM lexu
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT walliki NULL pillaku bAXa wappaxu
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT walliki NULL pillaku bAXa wappaxu
LEFTARC#ccof|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT walliki NULL pillaku bAXa wappaxu
SHIFT|	[0, 2]|	[3, 4, 5]|	[(2, 1, 'ccof')]|	ROOT walliki NULL pillaku bAXa wappaxu
RIGHTARC#ccof|	[0, 2, 3]|	[4, 5]|	[(2, 1, 'ccof')]|	ROOT walliki NULL pillaku bAXa wappaxu
SHIFT|	[0, 2]|	[4, 5]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT walliki NULL pillaku bAXa wappaxu
SHIFT|	[0, 2, 4]|	[5]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT walliki NULL pillaku bAXa wappaxu
LEFTARC#k1|	[0, 2, 4, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof')]|	ROOT walliki NULL pillaku bAXa wappaxu
LEFTARC#k4|	[0, 2, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof'), (5, 4, 'k1')]|	ROOT walliki NULL pillaku bAXa wappaxu
RIGHTARC#root|	[0, 5]|	[]|	[(2, 1, 'ccof'), (2, 3, 'ccof'), (5, 4, 'k1'), (5, 2, 'k4')]|	ROOT walliki NULL pillaku bAXa wappaxu
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT puttagAne pApa eduswuMxi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT puttagAne pApa eduswuMxi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT puttagAne pApa eduswuMxi
LEFTARC#k1|	[0, 1, 2, 3]|	[]|	[]|	ROOT puttagAne pApa eduswuMxi
LEFTARC#vmod|	[0, 1, 3]|	[]|	[(3, 2, 'k1')]|	ROOT puttagAne pApa eduswuMxi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k1'), (3, 1, 'vmod')]|	ROOT puttagAne pApa eduswuMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT gaxilo veVluwuru waggiMcAli
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT gaxilo veVluwuru waggiMcAli
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT gaxilo veVluwuru waggiMcAli
LEFTARC#k2|	[0, 1, 2, 3]|	[]|	[]|	ROOT gaxilo veVluwuru waggiMcAli
LEFTARC#k7p|	[0, 1, 3]|	[]|	[(3, 2, 'k2')]|	ROOT gaxilo veVluwuru waggiMcAli
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k2'), (3, 1, 'k7p')]|	ROOT gaxilo veVluwuru waggiMcAli
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT puttagAne walli poVttamIxa uMcAli
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT puttagAne walli poVttamIxa uMcAli
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT puttagAne walli poVttamIxa uMcAli
LEFTARC#r6|	[0, 1, 2, 3]|	[4]|	[]|	ROOT puttagAne walli poVttamIxa uMcAli
SHIFT|	[0, 1, 3]|	[4]|	[(3, 2, 'r6')]|	ROOT puttagAne walli poVttamIxa uMcAli
LEFTARC#k7p|	[0, 1, 3, 4]|	[]|	[(3, 2, 'r6')]|	ROOT puttagAne walli poVttamIxa uMcAli
LEFTARC#vmod|	[0, 1, 4]|	[]|	[(3, 2, 'r6'), (4, 3, 'k7p')]|	ROOT puttagAne walli poVttamIxa uMcAli
RIGHTARC#root|	[0, 4]|	[]|	[(3, 2, 'r6'), (4, 3, 'k7p'), (4, 1, 'vmod')]|	ROOT puttagAne walli poVttamIxa uMcAli
SHIFT|	[0]|	[1, 2]|	[]|	ROOT vedinIlYlawo kadagAli
SHIFT|	[0, 1]|	[2]|	[]|	ROOT vedinIlYlawo kadagAli
LEFTARC#k3|	[0, 1, 2]|	[]|	[]|	ROOT vedinIlYlawo kadagAli
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k3')]|	ROOT vedinIlYlawo kadagAli
SHIFT|	[0]|	[1, 2]|	[]|	ROOT wuMduwo wudavAli
SHIFT|	[0, 1]|	[2]|	[]|	ROOT wuMduwo wudavAli
LEFTARC#k3|	[0, 1, 2]|	[]|	[]|	ROOT wuMduwo wudavAli
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k3')]|	ROOT wuMduwo wudavAli
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT walliki xaggaragA AniMcAli
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT walliki xaggaragA AniMcAli
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT walliki xaggaragA AniMcAli
LEFTARC#adv|	[0, 1, 2, 3]|	[]|	[]|	ROOT walliki xaggaragA AniMcAli
LEFTARC#k4|	[0, 1, 3]|	[]|	[(3, 2, 'adv')]|	ROOT walliki xaggaragA AniMcAli
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'adv'), (3, 1, 'k4')]|	ROOT walliki xaggaragA AniMcAli
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
SHIFT|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
SHIFT|	[0, 1, 2, 3]|	[4, 5]|	[]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
LEFTARC#r6|	[0, 1, 2, 3, 4]|	[5]|	[]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
SHIFT|	[0, 1, 2, 4]|	[5]|	[(4, 3, 'r6')]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
LEFTARC#k2|	[0, 1, 2, 4, 5]|	[]|	[(4, 3, 'r6')]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
LEFTARC#k7t|	[0, 1, 2, 5]|	[]|	[(4, 3, 'r6'), (5, 4, 'k2')]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
LEFTARC#k1|	[0, 1, 5]|	[]|	[(4, 3, 'r6'), (5, 4, 'k2'), (5, 2, 'k7t')]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
RIGHTARC#root|	[0, 5]|	[]|	[(4, 3, 'r6'), (5, 4, 'k2'), (5, 2, 'k7t'), (5, 1, 'k1')]|	ROOT bidda iMwaxAka guMdeV cappudu viniMxi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT neVlalu viniMxi
SHIFT|	[0, 1]|	[2]|	[]|	ROOT neVlalu viniMxi
LEFTARC#k7t|	[0, 1, 2]|	[]|	[]|	ROOT neVlalu viniMxi
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k7t')]|	ROOT neVlalu viniMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT aMxuke xaggaragA uMcAli
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT aMxuke xaggaragA uMcAli
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT aMxuke xaggaragA uMcAli
LEFTARC#adv|	[0, 1, 2, 3]|	[]|	[]|	ROOT aMxuke xaggaragA uMcAli
RIGHTARC#ccof|	[0, 1, 3]|	[]|	[(3, 2, 'adv')]|	ROOT aMxuke xaggaragA uMcAli
RIGHTARC#root|	[0, 1]|	[]|	[(3, 2, 'adv'), (1, 3, 'ccof')]|	ROOT aMxuke xaggaragA uMcAli
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT moVxata walliki murrupAlu vaswAyi
SHIFT|	[0, 1]|	[2, 3, 4]|	[]|	ROOT moVxata walliki murrupAlu vaswAyi
SHIFT|	[0, 1, 2]|	[3, 4]|	[]|	ROOT moVxata walliki murrupAlu vaswAyi
SHIFT|	[0, 1, 2, 3]|	[4]|	[]|	ROOT moVxata walliki murrupAlu vaswAyi
LEFTARC#k1|	[0, 1, 2, 3, 4]|	[]|	[]|	ROOT moVxata walliki murrupAlu vaswAyi
